University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Division of Computer Science (EECS),Pieter Abbeel,N/A,https://vcresearch.berkeley.edu/faculty/pieter-abbeel,N/A,N/A
Berkeley,Dept of Music,Marié Abe,N/A,https://vcresearch.berkeley.edu/faculty/marie-abe,N/A,N/A
Berkeley,Dept of Chemistry,Brooks Abel,N/A,https://vcresearch.berkeley.edu/faculty/brooks-abel,N/A,N/A
Berkeley,Dept of English,Elizabeth Abel,N/A,https://vcresearch.berkeley.edu/faculty/elizabeth-abel,N/A,N/A
Berkeley,Dept of Chemistry,Rebecca Abergel,N/A,https://vcresearch.berkeley.edu/faculty/rebecca-abergel,N/A,N/A
Berkeley,School of Education,Dor Abrahamson,N/A,https://vcresearch.berkeley.edu/faculty/dor-abrahamson,N/A,N/A
Berkeley,School of Public Health,Barbara Abrams,N/A,https://vcresearch.berkeley.edu/faculty/barbara-abrams,N/A,N/A
Berkeley,School of Law,Kathryn Abrams,N/A,https://vcresearch.berkeley.edu/faculty/kathryn-abrams,N/A,N/A
Berkeley,Dept of City & Regional Planning,Charisma Acey,N/A,https://vcresearch.berkeley.edu/faculty/charisma-acey,N/A,N/A
Berkeley,Dept of Integrative Biology,David Ackerly,N/A,https://vcresearch.berkeley.edu/faculty/david-ackerly,N/A,N/A
Berkeley,Dept of Molecular & Cell Biology,Hillel Adesnik,N/A,https://vcresearch.berkeley.edu/faculty/hillel-adesnik,N/A,N/A
Berkeley,Dept of Industrial Engineering & Operations Research,Ilan Adler,N/A,https://vcresearch.berkeley.edu/faculty/ilan-adler,N/A,N/A
Berkeley,Dept of Mathematics,Mina Aganagic,N/A,https://vcresearch.berkeley.edu/faculty/mina-aganagic,N/A,N/A
Berkeley,Dept of Anthropology,Sabrina Agarwal,N/A,https://vcresearch.berkeley.edu/faculty/sabrina-agarwal,N/A,N/A
Berkeley,Dept of Political Science,Vinod K. Aggarwal,N/A,https://vcresearch.berkeley.edu/faculty/vinod-aggarwal,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Alice M. Agogino,N/A,https://vcresearch.berkeley.edu/faculty/alice-m-agogino,N/A,N/A
Berkeley,Dept of Mathematics,Ian Agol,N/A,https://vcresearch.berkeley.edu/faculty/ian-agol,N/A,N/A
Berkeley,School of Social Welfare,Adrian Aguilera,N/A,https://vcresearch.berkeley.edu/faculty/adrian-aguilera,N/A,N/A
Berkeley,School of Public Health,Jennifer Ahern,N/A,https://vcresearch.berkeley.edu/faculty/jennifer-ahern,N/A,N/A
Berkeley,Dept of Middle Eastern Languages & Cultures,Wali Ahmadi,N/A,https://vcresearch.berkeley.edu/faculty/wali-ahmadi,N/A,N/A
Berkeley,Dept of Middle Eastern Languages & Cultures,Asad Q. Ahmed,N/A,https://vcresearch.berkeley.edu/faculty/asad-q-ahmed,N/A,N/A
Berkeley,Dept of Chemistry,Ashok Ajoy,N/A,https://vcresearch.berkeley.edu/faculty/ashok-ajoy,N/A,N/A
Berkeley,Dept of Economics,George A. Akerlof,N/A,https://vcresearch.berkeley.edu/faculty/george-akerlof,N/A,N/A
Berkeley,Dept of Materials Science and Engineering,Zakaria Al Balushi,N/A,https://vcresearch.berkeley.edu/faculty/zakaria-al-balushi,N/A,N/A
Berkeley,Computational Precision Health Program,Ahmed Alaa,N/A,https://vcresearch.berkeley.edu/faculty/ahmed-alaa,N/A,N/A
Berkeley,Dept of Mechanical Engineering,M. Reza Alam,N/A,https://vcresearch.berkeley.edu/faculty/m-reza-alam,N/A,N/A
Berkeley,School of Law,Catherine Albiston,N/A,https://vcresearch.berkeley.edu/faculty/catherine-albiston,N/A,N/A
Berkeley,Dept of Earth and Planetary Science,Richard Allen,N/A,https://vcresearch.berkeley.edu/faculty/richard-allen,N/A,N/A
Berkeley,"Dept of Environmental Science, Policy & Management",Rodrigo Almeida,N/A,https://vcresearch.berkeley.edu/faculty/rodrigo-almeida,N/A,N/A
Berkeley,Dept of Physics,Ehud Altman,N/A,https://vcresearch.berkeley.edu/faculty/ehud-altman,N/A,N/A
Berkeley,Dept of Civil and Environmental Engineering,Lisa Alvarez-Cohen,N/A,https://vcresearch.berkeley.edu/faculty/lisa-alvarez-cohen,N/A,N/A
Berkeley,"Dept of Environmental Science, Policy & Management",Ronald Amundson,N/A,https://vcresearch.berkeley.edu/faculty/ronald-amundson,N/A,N/A
Berkeley,Dept of East Asian Languages and Cultures,Jinsoo An,N/A,https://vcresearch.berkeley.edu/faculty/jinsoo,N/A,N/A
Berkeley,Dept of Physics,James Analytis,N/A,https://vcresearch.berkeley.edu/faculty/james-analytis,N/A,N/A
Berkeley,School of Journalism,Geeta Anand,N/A,https://vcresearch.berkeley.edu/faculty/geeta-anand,N/A,N/A
Berkeley,Division of Electrical Engineering (EECS),Venkat Anantharam,N/A,https://vcresearch.berkeley.edu/faculty/venkat-anantharam,N/A,N/A
Berkeley,Haas School of Business,Cameron Anderson,N/A,https://vcresearch.berkeley.edu/faculty/cameron-anderson,N/A,N/A
Berkeley,Dept of Bioengineering,Chris Anderson,N/A,https://vcresearch.berkeley.edu/faculty/chris-anderson,N/A,N/A
Berkeley,Dept of Architecture,Mark Anderson,N/A,https://vcresearch.berkeley.edu/faculty/mark-anderson,N/A,N/A
Berkeley,Dept of Agricultural & Resource Economics,Michael L. Anderson,N/A,https://vcresearch.berkeley.edu/faculty/michael-anderson,N/A,N/A
Berkeley,Dept of Economics,Robert M. Anderson,N/A,https://vcresearch.berkeley.edu/faculty/robert-m-anderson,N/A,N/A
Berkeley,School of Law,Abhay Aneja,N/A,https://vcresearch.berkeley.edu/faculty/abhay-aneja,N/A,N/A
Berkeley,Dept of History,Diliana Angelova,N/A,https://vcresearch.berkeley.edu/faculty/diliana-angelova,N/A,N/A
Berkeley,Dept of Agricultural & Resource Economics,Francis Annan,N/A,https://vcresearch.berkeley.edu/faculty/francis-annan,N/A,N/A
Berkeley,Dept of Political Science,Christopher Ansell,N/A,https://vcresearch.berkeley.edu/faculty/christopher-ansell,N/A,N/A
Berkeley,Dept of Energy & Resources Group,David Anthoff,N/A,https://vcresearch.berkeley.edu/faculty/david-anthoff,N/A,N/A
Berkeley,Division of Computer Science (EECS),Gopala Krishna Anumanchipalli,N/A,https://vcresearch.berkeley.edu/faculty/gopala-krishna-anumanchipalli,N/A,N/A
Berkeley,Dept of Political Science,Sarah Anzia,N/A,https://vcresearch.berkeley.edu/faculty/sarah-anzia,N/A,N/A
Berkeley,Dept of Nutritional Sciences & Toxicology,Gregory W. Aponte,N/A,https://vcresearch.berkeley.edu/faculty/gregory-w-aponte,N/A,N/A
Berkeley,School of Public Health,Joshua Apte,N/A,https://vcresearch.berkeley.edu/faculty/joshua-apte,N/A,N/A
Berkeley,Division of Electrical Engineering (EECS),Murat Arcak,N/A,https://vcresearch.berkeley.edu/faculty/murat-arcak,N/A,N/A
Berkeley,Dept of Architecture,Edward Arens,N/A,https://vcresearch.berkeley.edu/faculty/edward-arens,N/A,N/A
Berkeley,Division of Electrical Engineering (EECS),Ana Claudia Arias,N/A,https://vcresearch.berkeley.edu/faculty/ana-claudia-arias,N/A,N/A
Berkeley,Dept of Bioengineering,Adam Arkin,N/A,https://vcresearch.berkeley.edu/faculty/adam-arkin,N/A,N/A
Berkeley,Dept of Civil and Environmental Engineering,Francisco Armero,N/A,https://vcresearch.berkeley.edu/faculty/francisco-armero,N/A,N/A
Berkeley,School of Journalism,Lisa Armstrong,N/A,https://vcresearch.berkeley.edu/faculty/lisa-armstrong,N/A,N/A
Berkeley,Dept of Chemistry,John Arnold,N/A,https://vcresearch.berkeley.edu/faculty/john-arnold,N/A,N/A
Berkeley,Dept of English,Oliver Arnold,N/A,https://vcresearch.berkeley.edu/faculty/oliver-arnold,N/A,N/A
Berkeley,Dept of Chemistry,Polly Arnold,N/A,https://vcresearch.berkeley.edu/faculty/polly-arnold,N/A,N/A
Berkeley,Dept of Political Science,Leonardo Arriola,N/A,https://vcresearch.berkeley.edu/faculty/leonardo-arriola,N/A,N/A
Berkeley,Dept of Nutritional Sciences & Toxicology,Ana Paula Arruda,N/A,https://vcresearch.berkeley.edu/faculty/ana-paula-arruda,N/A,N/A
Berkeley,Division of Computer Science (EECS),Krste Asanovic,N/A,https://vcresearch.berkeley.edu/faculty/krste-asanovic,N/A,N/A
Berkeley,Dept of East Asian Languages and Cultures,Robert Ashmore,N/A,https://vcresearch.berkeley.edu/faculty/robert-ashmore,N/A,N/A
Berkeley,Dept of Materials Science and Engineering,Mark Asta,N/A,https://vcresearch.berkeley.edu/faculty/mark-asta,N/A,N/A
Berkeley,Dept of Industrial Engineering & Operations Research,Anil Aswani,N/A,https://vcresearch.berkeley.edu/faculty/anil-aswani,N/A,N/A
Berkeley,Dept of Industrial Engineering & Operations Research,Alper Atamturk,N/A,https://vcresearch.berkeley.edu/faculty/alper-atamturk,N/A,N/A
Berkeley,Dept of Civil and Environmental Engineering,Adda Athanasopoulos-Zekkos,N/A,https://vcresearch.berkeley.edu/faculty/adda-athanasopoulos-zekkos,N/A,N/A
Berkeley,School of Law,Abby Atkinson,N/A,https://vcresearch.berkeley.edu/faculty/abby-atkinson,N/A,N/A
Berkeley,Dept of Architecture,Andrew Atwood,N/A,https://vcresearch.berkeley.edu/faculty/andrew-atwood,N/A,N/A
Berkeley,School of Law,Alan Auerbach,N/A,https://vcresearch.berkeley.edu/faculty/alan-auerbach,N/A,N/A
Berkeley,School of Public Health,Colette (Coco) Auerswald,N/A,https://vcresearch.berkeley.edu/faculty/colette-coco-auerswald,N/A,N/A
Berkeley,Dept of Agricultural & Resource Economics,Maximilian Auffhammer,N/A,https://vcresearch.berkeley.edu/faculty/maximilian-auffhammer,N/A,N/A
Berkeley,Haas School of Business,Ned Augenblick,N/A,https://vcresearch.berkeley.edu/faculty/ned-augenblick,N/A,N/A
Berkeley,Dept of Mechanical Engineering,David M. Auslander,N/A,https://vcresearch.berkeley.edu/faculty/david-m-auslander,N/A,N/A
Berkeley,School of Social Welfare,Michael J. Austin,N/A,https://vcresearch.berkeley.edu/faculty/michael-j-austin,N/A,N/A
Berkeley,Dept of Psychology,Ozlem Ayduk,N/A,https://vcresearch.berkeley.edu/faculty/ozlem-ayduk,N/A,N/A
Berkeley,School of Law,Kenneth Ayotte,N/A,https://vcresearch.berkeley.edu/faculty/kenneth-ayotte,N/A,N/A
Berkeley,Dept of Gender and Women's Studies,Paola Bacchetta,N/A,https://vcresearch.berkeley.edu/faculty/paola-bacchetta,N/A,N/A
Berkeley,Dept of Integrative Biology,Doris Bachtrog,N/A,https://vcresearch.berkeley.edu/faculty/doris-bachtrog,N/A,N/A
Berkeley,Dept of Economics,Matthew Backus,N/A,https://vcresearch.berkeley.edu/faculty/matthew-backus,N/A,N/A
Berkeley,School of Law,Adam Badawi,N/A,https://vcresearch.berkeley.edu/faculty/adam-badawi,N/A,N/A
Berkeley,Dept of German,Nicholas Baer,N/A,https://vcresearch.berkeley.edu/faculty/nicholas-baer,N/A,N/A
Berkeley,Haas School of Business,Erica R. Bailey,N/A,https://vcresearch.berkeley.edu/faculty/erica-r-bailey,N/A,N/A
Berkeley,Dept of Philosophy,Olivia Bailey,N/A,https://vcresearch.berkeley.edu/faculty/olivia-bailey,N/A,N/A
Berkeley,Dept of History,Janaki Bakhle,N/A,https://vcresearch.berkeley.edu/faculty/janaki-bakhle,N/A,N/A
Berkeley,Dept of City & Regional Planning,Sai Balakrishnan,N/A,https://vcresearch.berkeley.edu/faculty/sai-balakrishnan,N/A,N/A
Berkeley,"Dept of Environmental Science, Policy & Management",Dennis Baldocchi,N/A,https://vcresearch.berkeley.edu/faculty/dennis-baldocchi,N/A,N/A
Berkeley,Dept of Integrative Biology,Bruce G. Baldwin,N/A,https://vcresearch.berkeley.edu/faculty/bruce-g-baldwin,N/A,N/A
Berkeley,Dept of Physics,Stuart Bale,N/A,https://vcresearch.berkeley.edu/faculty/stuart-bale,N/A,N/A
Berkeley,Dept of German,Lilla Balint,N/A,https://vcresearch.berkeley.edu/faculty/lilla-balint,N/A,N/A
Berkeley,Dept of Chemical & Biomolecular Engineering,Nitash P. Balsara,N/A,https://vcresearch.berkeley.edu/faculty/nitash-balsara,N/A,N/A
Berkeley,School of Law,Kenneth A. Bamberger,N/A,https://vcresearch.berkeley.edu/faculty/kenneth-bamberger,N/A,N/A
Berkeley,Dept of Mathematics,Richard H. Bamler,N/A,https://vcresearch.berkeley.edu/faculty/richard-h-bamler,N/A,N/A
Berkeley,School of Information,David Bamman,N/A,https://vcresearch.berkeley.edu/faculty/david-bamman,N/A,N/A
Berkeley,Dept of English,Sukanya Banerjee,N/A,https://vcresearch.berkeley.edu/faculty/sukanya-banerjee,N/A,N/A
Berkeley,Dept of Earth and Planetary Science,Jill Banfield,N/A,https://vcresearch.berkeley.edu/faculty/jill-banfield,N/A,N/A
Berkeley,Dept of Political Science,Kirk Bansak,N/A,https://vcresearch.berkeley.edu/faculty/kirk-bansak,N/A,N/A
Berkeley,Dept of Film and Media,Weihong Bao,N/A,https://vcresearch.berkeley.edu/faculty/weihong-bao,N/A,N/A
Berkeley,School of Education,Patricia Baquedano-López,N/A,https://vcresearch.berkeley.edu/faculty/patricia-baquedano-lopez,N/A,N/A
Berkeley,Dept of Economics,Nano Barahona,N/A,https://vcresearch.berkeley.edu/faculty/nano-barahona,N/A,N/A
Berkeley,Dept of Chemistry,Anne Baranger,N/A,https://vcresearch.berkeley.edu/faculty/anne-baranger,N/A,N/A
Berkeley,School of Public Health,Lisa Barcellos,N/A,https://vcresearch.berkeley.edu/faculty/lisa-barcellos,N/A,N/A
Berkeley,Dept of Molecular & Cell Biology,Georjana Barnes,N/A,https://vcresearch.berkeley.edu/faculty/georjana-barnes,N/A,N/A
Berkeley,Dept of History,Andrew Barshay,N/A,https://vcresearch.berkeley.edu/faculty/andrew-barshay,N/A,N/A
Berkeley,Dept of Slavic Languages and Literatures,Polina Barskova,N/A,https://vcresearch.berkeley.edu/faculty/polina-barskova,N/A,N/A
Berkeley,Division of Computer Science (EECS),Brian A. Barsky,N/A,https://vcresearch.berkeley.edu/faculty/brian-barsky,N/A,N/A
Berkeley,School of Journalism,David Barstow,N/A,https://vcresearch.berkeley.edu/faculty/david-barstow,N/A,N/A
Berkeley,Dept of Statistics,Peter Bartlett,N/A,https://vcresearch.berkeley.edu/faculty/peter-bartlett,N/A,N/A
Berkeley,School of Law,Robert Bartlett,N/A,https://vcresearch.berkeley.edu/faculty/robert-bartlett,N/A,N/A
Berkeley,"Dept of Environmental Science, Policy & Management",James W. Bartolome,N/A,https://vcresearch.berkeley.edu/faculty/james-w-bartolome,N/A,N/A
Berkeley,Dept of Molecular & Cell Biology,Gregory Barton,N/A,https://vcresearch.berkeley.edu/faculty/gregory-barton,N/A,N/A
