University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Dept of Industrial Engineering & Operations Research,Ilan Adler,,https://vcresearch.berkeley.edu/faculty/ilan-adler,,
Berkeley,Dept of Mechanical Engineering,Alice M. Agogino,,https://vcresearch.berkeley.edu/faculty/alice-m-agogino,,
Berkeley,Dept of Materials Science and Engineering,Zakaria Al Balushi,,https://vcresearch.berkeley.edu/faculty/zakaria-al-balushi,,
Berkeley,Dept of Mechanical Engineering,M. Reza Alam,,https://vcresearch.berkeley.edu/faculty/m-reza-alam,,
Berkeley,Dept of Civil and Environmental Engineering,Lisa Alvarez-Cohen,,https://vcresearch.berkeley.edu/faculty/lisa-alvarez-cohen,,
Berkeley,Division of Electrical Engineering (EECS),Venkat Anantharam,,https://vcresearch.berkeley.edu/faculty/venkat-anantharam,,
Berkeley,Dept of Bioengineering,Chris Anderson,,https://vcresearch.berkeley.edu/faculty/chris-anderson,,
Berkeley,Division of Electrical Engineering (EECS),Murat Arcak,,https://vcresearch.berkeley.edu/faculty/murat-arcak,,
Berkeley,Division of Electrical Engineering (EECS),Ana Claudia Arias,,https://vcresearch.berkeley.edu/faculty/ana-claudia-arias,,
Berkeley,Dept of Bioengineering,Adam Arkin,,https://vcresearch.berkeley.edu/faculty/adam-arkin,,
Berkeley,Dept of Civil and Environmental Engineering,Francisco Armero,,https://vcresearch.berkeley.edu/faculty/francisco-armero,,
Berkeley,Dept of Materials Science and Engineering,Mark Asta,,https://vcresearch.berkeley.edu/faculty/mark-asta,,
Berkeley,Dept of Industrial Engineering & Operations Research,Anil Aswani,,https://vcresearch.berkeley.edu/faculty/anil-aswani,,
Berkeley,Dept of Industrial Engineering & Operations Research,Alper Atamturk,,https://vcresearch.berkeley.edu/faculty/alper-atamturk,,
Berkeley,Dept of Civil and Environmental Engineering,Adda Athanasopoulos-Zekkos,,https://vcresearch.berkeley.edu/faculty/adda-athanasopoulos-zekkos,,
Berkeley,Dept of Mechanical Engineering,David M. Auslander,,https://vcresearch.berkeley.edu/faculty/david-m-auslander,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Nitash P. Balsara,,https://vcresearch.berkeley.edu/faculty/nitash-balsara,,
Berkeley,Division of Electrical Engineering (EECS),Alexandre Bayen,,https://vcresearch.berkeley.edu/faculty/alexandre-bayen,,
Berkeley,Dept of Civil and Environmental Engineering,Tracy Becker,,https://vcresearch.berkeley.edu/faculty/tracy-becker,,
Berkeley,Dept of Nuclear Engineering,Lee Bernstein,,https://vcresearch.berkeley.edu/faculty/lee-bernstein,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Shannon Boettcher,,https://vcresearch.berkeley.edu/faculty/shannon-boettcher,,
Berkeley,Dept of Mechanical Engineering,David B. Bogy,,https://vcresearch.berkeley.edu/faculty/david-b-bogy,,
Berkeley,Division of Electrical Engineering (EECS),Jeffrey Bokor,,https://vcresearch.berkeley.edu/faculty/jeffrey-bokor,,
Berkeley,Division of Electrical Engineering (EECS),Jessica Boles,,https://vcresearch.berkeley.edu/faculty/jessica-boles,,
Berkeley,Dept of Mechanical Engineering,Francesco Borrelli,,https://vcresearch.berkeley.edu/faculty/francesco-borrelli,,
Berkeley,Dept of Civil and Environmental Engineering,Jonathan D. Bray,,https://vcresearch.berkeley.edu/faculty/jonathan-bray,,
Berkeley,Dept of Bioengineering,Steven E. Brenner,,https://vcresearch.berkeley.edu/faculty/steven-brenner,,
Berkeley,Dept of Mechanical Engineering,Van P. Carey,,https://vcresearch.berkeley.edu/faculty/van-p-carey,,
Berkeley,Division of Electrical Engineering (EECS),Jose M. Carmena,,https://vcresearch.berkeley.edu/faculty/jose-m-carmena,,
Berkeley,Dept of Civil and Environmental Engineering,Maya Carrasquillo,,https://vcresearch.berkeley.edu/faculty/maya-carrasquillo,,
Berkeley,Dept of Bioengineering,James Casey,,https://vcresearch.berkeley.edu/faculty/james-casey,,
Berkeley,Dept of Civil and Environmental Engineering,Michael Cassidy,,https://vcresearch.berkeley.edu/faculty/michael-cassidy,,
Berkeley,Dept of Materials Science and Engineering,Gerbrand Ceder,,https://vcresearch.berkeley.edu/faculty/gerbrand-ceder,,
Berkeley,Dept of Civil and Environmental Engineering,Luis Ceferino,,https://vcresearch.berkeley.edu/faculty/luis-ceferino,,
Berkeley,Division of Electrical Engineering (EECS),Jun-Chau Chien,,https://vcresearch.berkeley.edu/faculty/jun-chau-chien,,
Berkeley,Dept of Civil and Environmental Engineering,Fotini Chow,,https://vcresearch.berkeley.edu/faculty/fotini-chow,,
Berkeley,Dept of Materials Science and Engineering,Daryl C. Chrzan,,https://vcresearch.berkeley.edu/faculty/daryl-chrzan,,
Berkeley,Division of Electrical Engineering (EECS),John Chuang,,https://vcresearch.berkeley.edu/faculty/john-chuang,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Douglas Clark,,https://vcresearch.berkeley.edu/faculty/douglas-clark,,
Berkeley,Dept of Bioengineering,Iain Clark,,https://vcresearch.berkeley.edu/faculty/iain-clark,,
Berkeley,Dept of Bioengineering,Irina Conboy,,https://vcresearch.berkeley.edu/faculty/irina-conboy,,
Berkeley,Division of Electrical Engineering (EECS),Steven Conolly,,https://vcresearch.berkeley.edu/faculty/steven-conolly,,
