University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Dept of Mechanical Engineering,Alice M. Agogino,N/A,https://vcresearch.berkeley.edu/faculty/alice-m-agogino,N/A,N/A
Berkeley,Dept of Mechanical Engineering,M. Reza Alam,N/A,https://vcresearch.berkeley.edu/faculty/m-reza-alam,N/A,N/A
Berkeley,Dept of Mechanical Engineering,David M. Auslander,N/A,https://vcresearch.berkeley.edu/faculty/david-m-auslander,N/A,N/A
Berkeley,Dept of Mechanical Engineering,David B. Bogy,N/A,https://vcresearch.berkeley.edu/faculty/david-b-bogy,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Francesco Borrelli,N/A,https://vcresearch.berkeley.edu/faculty/francesco-borrelli,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Van P. Carey,N/A,https://vcresearch.berkeley.edu/faculty/van-p-carey,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Christopher E. Dames,N/A,https://vcresearch.berkeley.edu/faculty/christopher-dames,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Robert Dibble,N/A,https://vcresearch.berkeley.edu/faculty/robert-dibble,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Carlos Fernandez-Pello,N/A,https://vcresearch.berkeley.edu/faculty/carlos-fernandez-pello,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Michael Frenklach,N/A,https://vcresearch.berkeley.edu/faculty/michael-frenklach,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Michael Gollner,N/A,https://vcresearch.berkeley.edu/faculty/michael-gollner,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Kosa Goucher-Lambert,N/A,https://vcresearch.berkeley.edu/faculty/kosa-goucher-lambert,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Ralph Greif,N/A,https://vcresearch.berkeley.edu/faculty/ralph-greif,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Costas P. Grigoropoulos,N/A,https://vcresearch.berkeley.edu/faculty/costas-grigoropoulos,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Grace Gu,N/A,https://vcresearch.berkeley.edu/faculty/grace-gu,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Roberto Horowitz,N/A,https://vcresearch.berkeley.edu/faculty/roberto-horowitz,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Alexis Kaminski,N/A,https://vcresearch.berkeley.edu/faculty/alexis-kaminski,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Homayoon Kazerooni,N/A,https://vcresearch.berkeley.edu/faculty/homayoon-kazerooni,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Kyriakos Komvopoulos,N/A,https://vcresearch.berkeley.edu/faculty/kyriakos-komvopoulos,N/A,N/A
Berkeley,Dept of Mechanical Engineering,George Leitmann,N/A,https://vcresearch.berkeley.edu/faculty/george-leitmann,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Liwei Lin,N/A,https://vcresearch.berkeley.edu/faculty/liwei-lin,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Fai Ma,N/A,https://vcresearch.berkeley.edu/faculty/fai-ma,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Simo M��kiharju,N/A,https://vcresearch.berkeley.edu/faculty/simo-makiharju,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Philip Marcus,N/A,https://vcresearch.berkeley.edu/faculty/philip-marcus,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Sara McMains,N/A,https://vcresearch.berkeley.edu/faculty/sara-mcmains,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Negar Mehr,N/A,https://vcresearch.berkeley.edu/faculty/negar-mehr,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Mark W. Mueller,N/A,https://vcresearch.berkeley.edu/faculty/mark-w-mueller,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Grace D O'Connell,N/A,https://vcresearch.berkeley.edu/faculty/grace-oconnell,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Oliver O'Reilly,N/A,https://vcresearch.berkeley.edu/faculty/oliver-oreilly,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Panayiotis Papadopoulos,N/A,https://vcresearch.berkeley.edu/faculty/panayiotis-papadopoulos,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Kameshwar Poolla,N/A,https://vcresearch.berkeley.edu/faculty/kameshwar-poolla,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Lisa A. Pruitt,N/A,https://vcresearch.berkeley.edu/faculty/lisa-pruitt,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Omer Savas,N/A,https://vcresearch.berkeley.edu/faculty/omer-savas,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Thomas Schutzius,N/A,https://vcresearch.berkeley.edu/faculty/thomas-schutzius,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Shawn Shadden,N/A,https://vcresearch.berkeley.edu/faculty/shawn-shadden,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Lydia Sohn,N/A,https://vcresearch.berkeley.edu/faculty/lydia-sohn,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Koushil Sreenath,N/A,https://vcresearch.berkeley.edu/faculty/koushil-sreenath,N/A,N/A
Berkeley,Dept of Mechanical Engineering,David J. Steigmann,N/A,https://vcresearch.berkeley.edu/faculty/david-steigmann,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Hannah Stuart,N/A,https://vcresearch.berkeley.edu/faculty/hannah-stuart,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Hayden Taylor,N/A,https://vcresearch.berkeley.edu/faculty/hayden-taylor,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Masayoshi Tomizuka,N/A,https://vcresearch.berkeley.edu/faculty/masayoshi-tomizuka,N/A,N/A
Berkeley,Dept of Mechanical Engineering,Lining Yao,N/A,https://vcresearch.berkeley.edu/faculty/lining-yao,N/A,N/A
